timestamp,true_price,estimated_price,moneyness,time_to_maturity
2021.06.015.0,439.08545,486.74957,0.5517001,1.0
2021.08.017.0,20.5,21.21167,-1.8538609,0.0
2021.010.022.0,480.0,485.12897,-0.52115846,0.0
2021.05.024.0,58.000008,55.63333,-1.590363,1.0
2021.010.022.0,109.0,155.16023,-0.7025399,2636.0
2021.03.017.0,57.61181,59.98871,1.7382525,84.0
2021.06.015.0,301.0,410.36688,0.24965823,0.0
2021.08.017.0,740.0,614.9544,0.083513856,0.0
2021.06.015.0,578.41943,594.37695,-0.034511447,0.0
2021.07.027.0,50.0,69.09949,-0.98583627,2433.0
2021.05.03.0,357.0,460.2882,-0.5165179,2.0
2021.012.024.0,18.0,8.068253,-1.4759014,945.0
2021.05.024.0,663.751,600.0646,0.43225408,1.0
2021.010.022.0,525.5083,533.311,0.40071237,0.0
2021.07.027.0,182.0,191.10574,0.4477743,0.0
2021.09.030.0,9.0,8.681351,-2.050053,0.0
2021.012.03.0,14.0,34.68062,1.7932796,0.0
2021.010.022.0,8.0,11.032745,-2.0492895,166.0
2021.07.06.0,41.76773,43.19246,1.6753175,21.0
2021.09.030.0,120.6814,101.296684,1.2699127,0.0
2021.05.03.0,148.0,209.07515,-0.8725784,0.0
2021.012.03.0,280.0,320.00406,0.38072288,0.0
2021.07.027.0,506.7541,510.44397,0.45385003,0.0
2021.03.017.0,364.0,357.51938,0.44447637,0.0
2021.07.027.0,467.13,444.1604,0.7114532,0.0
2021.09.07.0,1.3999939,7.855774,-2.278467,614.0
2021.09.07.0,469.19983,437.33466,0.6906376,0.0
2021.05.024.0,423.82562,339.3755,-0.30158305,0.0
2021.05.03.0,106.34596,116.071014,1.5719237,0.0
2021.07.06.0,268.5024,297.1172,0.9408909,15.0
2021.07.06.0,12.0,26.090866,1.748836,0.0
2021.09.030.0,703.05756,740.5337,-0.28946567,0.0
2021.03.017.0,4.5,5.5278015,-2.1586723,55.0
2021.09.07.0,217.0,285.50034,0.7908826,0.0
2021.09.030.0,334.0,333.78098,-0.35787773,77.0
2021.05.024.0,452.0,445.1795,0.46076858,0.0
2021.07.06.0,330.0,348.59894,-0.12811565,211.0
2021.08.017.0,3.600006,7.833786,-2.4287813,2.0
2021.09.030.0,288.8215,260.02618,0.4067874,179.0
2021.06.015.0,19.326355,25.372986,2.006127,18.0
2021.06.015.0,134.0,142.16222,-0.9807105,0.0
2021.011.012.0,6.800003,8.0625,-2.2561772,1.0
2021.012.03.0,0.1000061,2.528717,-3.4139583,105.0
2021.08.017.0,23.408157,16.796951,2.1072676,37.0
2021.012.024.0,48.50763,49.25856,1.2152152,685.0
2021.011.012.0,152.13786,134.57053,0.51680374,857.0
2021.02.023.0,65.99999,75.85564,-1.1072371,1663.0
2021.07.06.0,240.0,273.43036,-0.34527755,198.0
2021.010.022.0,12.0,10.273041,-1.9243519,94.0
2021.06.015.0,157.0,223.75839,0.90517354,0.0
2021.09.07.0,135.0,155.90012,-0.94736195,11.0
2021.012.024.0,353.0,408.39658,0.32484317,0.0
2021.06.015.0,42.072556,62.32773,1.3111134,336.0
2021.011.012.0,58.325127,59.39882,1.5581031,3.0
2021.010.022.0,29.49498,21.725525,1.5911978,523.0
2021.09.030.0,0.80000305,2.4442139,-2.8779247,0.0
2021.06.015.0,536.6666,580.58075,0.400105,0.0
