交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/04/01,CBO,202106  ,17.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,18.0000,買權,-,-,-,-,0,7.8,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,18.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,19.0000,買權,-,-,-,-,0,6.8,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,19.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,20.0000,買權,-,-,-,-,0,5.85,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,20.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,21.0000,買權,-,-,-,-,0,4.84,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,22.0000,買權,-,-,-,-,0,3.89,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,23.0000,買權,-,-,-,-,0,2.98,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,23.0000,賣權,-,-,-,-,0,0.05,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,24.0000,買權,-,-,-,-,0,2.18,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,24.0000,賣權,-,-,-,-,0,0.16,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,25.0000,買權,-,-,-,-,0,1.5,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,25.0000,賣權,-,-,-,-,0,0.42,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,26.0000,買權,-,-,-,-,0,0.97,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,26.0000,賣權,-,-,-,-,0,0.86,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,28.0000,買權,-,-,-,-,0,0.33,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,28.0000,賣權,-,-,-,-,0,2.31,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,30.0000,買權,-,-,-,-,0,0.09,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,30.0000,賣權,-,-,-,-,0,4.18,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,17.0000,買權,-,-,-,-,0,8.85,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,17.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,18.0000,買權,-,-,-,-,0,7.85,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,18.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,19.0000,買權,-,-,-,-,0,6.9,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,19.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,20.0000,買權,-,-,-,-,0,5.95,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,20.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,21.0000,買權,-,-,-,-,0,5,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,21.0000,賣權,-,-,-,-,0,0.03,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,22.0000,買權,-,-,-,-,0,4.15,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,22.0000,賣權,-,-,-,-,0,0.09,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,23.0000,買權,-,-,-,-,0,3.35,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,23.0000,賣權,-,-,-,-,0,0.21,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,24.0000,買權,-,-,-,-,0,2.65,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,24.0000,賣權,-,-,-,-,0,0.43,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,25.0000,買權,-,-,-,-,0,2.04,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,25.0000,賣權,-,-,-,-,0,0.76,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,26.0000,買權,-,-,-,-,0,1.53,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,26.0000,賣權,-,-,-,-,0,1.23,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,28.0000,買權,-,-,-,-,0,0.8,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,28.0000,賣權,-,-,-,-,0,2.55,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,30.0000,買權,-,-,-,-,0,0.39,0,-,-,-,-,,一般,
2021/04/01,CBO,202109  ,30.0000,賣權,-,-,-,-,0,4.25,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,19.0000,買權,-,-,-,-,0,7,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,19.0000,賣權,-,-,-,-,0,0.02,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,20.0000,買權,-,-,-,-,0,6.05,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,20.0000,賣權,-,-,-,-,0,0.04,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,21.0000,買權,-,-,-,-,0,5.2,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,21.0000,賣權,-,-,-,-,0,0.1,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,22.0000,買權,-,-,-,-,0,4.4,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,22.0000,賣權,-,-,-,-,0,0.2,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,23.0000,買權,-,-,-,-,0,3.66,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,23.0000,賣權,-,-,-,-,0,0.38,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,24.0000,買權,-,-,-,-,0,3,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,24.0000,賣權,-,-,-,-,0,0.64,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,25.0000,買權,-,-,-,-,0,2.43,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,25.0000,賣權,-,-,-,-,0,1.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,26.0000,買權,-,-,-,-,0,1.93,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,26.0000,賣權,-,-,-,-,0,1.49,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,28.0000,買權,-,-,-,-,0,1.18,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,28.0000,賣權,-,-,-,-,0,2.76,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,30.0000,買權,-,-,-,-,0,0.68,0,-,-,-,-,,一般,
2021/04/01,CBO,202112  ,30.0000,賣權,-,-,-,-,0,4.36,0,-,-,-,-,,一般,
2021/04/01,CCO,202104  ,39.0000,買權,-,-,-,-,0,11.5,0,-,-,-,-,,一般,
2021/04/01,CCO,202104  ,39.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CCO,202104  ,40.0000,買權,-,-,-,-,0,10.55,0,-,-,-,-,,一般,
